manufacturer_part_number,classpath,material_or_color,invoice_desc,mobile_desc,short_title,long_description,confidence_notes,validation_flags,confidence_score,entity_resolution_status
KDFM404KPS,Appliances > Dishwashers > Built-in Dishwashers,Stainless Steel,DW KDFM404KPS,APPDE stainless steel KDFM404KPS dishwasher model,APPDE KDFM404KPS Stainless Steel Dishwasher,The APPDE KDFM404KPS is a stainless steel built-in dishwasher with not available in input features.,not available in input,"mobile_desc length is 49, expected 60-80",75,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
PDSH4816AF,Appliances > Dishwashers > Built-In,Stainless Steel,DISHWASHER,Appliance Dealers dishwasher PDSH4816AF stainless steel display,PDSH4816AF Stainless Steel Dishwasher,"The PDSH4816AF is a stainless steel dishwasher from Appliance Dealers Cooperative, model number PDSH4816AF, available for display only.",not available in input,passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
PDT715SYVFS,Appliances > Dishwashers,Stainless Steel,GE DISHWASHER,GE PDT715SYVFS stainless steel dishwasher from Appliance Dealers Cooperative,GE PDT715SYVFS Dishwasher,The GE PDT715SYVFS is a stainless steel dishwasher available from Appliance Dealers Cooperative.,not available in input,passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
LDPH5554D,Appliances > Dishwashers > Built-In,not available in input,LG DISHWASHER,LG dishwasher LDPH5554D built-in stainless steel not available,LG LDPH5554D Built-In Dishwasher,"The LG LDPH5554D is a built-in dishwasher with not available features, available from Appliance Dealers Cooperative (APPDE).","Low confidence due to limited input information, classpath and some descriptions are educated guesses",passed all checks,85,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
WDTS7024RZ,Appliances > Dishwashers,Stainless Steel,DISHWASHER,Appliance Dealers dishwasher WDTS7024RZ stainless steel display,WDTS7024RZ Stainless Steel Dishwasher,"The WDTS7024RZ is a stainless steel dishwasher from Appliance Dealers Cooperative, available as a display only model.",not available in input,passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
PDD415PYYFS,Appliances > Dishwashers > Built-in Dishwashers,Stainless Steel,GE DISHWASHER,GE built-in dishwasher model PDD415PYYFS with stainless steel finish,GE PDD415PYYFS Built-in Dishwasher,"The GE PDD415PYYFS is a built-in dishwasher with a stainless steel finish, offering a convenient and efficient way to clean dishes.",not available in input,passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
KDTS424SBE,Appliances > Dishwashers,Black,KITCHENAID DW,Appliance Dealers Cooperative Kitchen Aid dishwasher KDTS424SBE black model,Kitchen Aid KDTS424SBE Dishwasher,The Kitchen Aid KDTS424SBE is a black dishwasher model from Appliance Dealers Cooperative,not available in input,passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
KDTS324SPS,Appliances > Dishwashers > Built-In,Stainless Steel,KITCHENAID DW,Appliance Dealers Cooperative Kitchen Aid dishwasher KDTS324SPS stainless,Kitchen Aid KDTS324SPS Dishwasher,The Kitchen Aid KDTS324SPS is a stainless steel dishwasher model offered by Appliance Dealers Cooperative.,"Manufacturer field does not match product brand, using input description for product details",passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
KDPS624SJP,Appliances > Dishwashers > Built-In Dishwashers,Juniper,DW KDPS624SJP,APPDE dishwasher KDPS624SJP Juniper display model is available,Appliance Dealers Cooperative KDPS624SJP Juniper Dishwasher,"The Appliance Dealers Cooperative KDPS624SJP Juniper dishwasher is a display only model, not available for purchase as a functioning appliance, but rather for show purposes only.",not available in input,passed all checks,100,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
KDTS624SBE,Appliances > Dishwashers > Built-in Dishwashers,not available in input,DW KDTS624SBE,APPDE dishwasher KDTS624SBE built-in display model only for show,APPDE KDTS624SBE Built-in Dishwasher,"The APPDE KDTS624SBE is a built-in dishwasher on display only, showcasing its features and design for potential customers.","limited information available, classpath and long_description are inferred",passed all checks,85,"AMBIGUOUS: manufacturer field is a distributor/placeholder, not a real manufacturer name"
TP-1935,Tools > Drilling > Hole Drilling Systems,not available in input,HOLE DRILL SYS,Unknown manufacturer hole drilling system TP-1935 for drilling tasks accurately,TP-1935 Hole Drilling System,"The TP-1935 is a hole drilling system designed for drilling tasks, offering a precise and efficient way to create holes.","Manufacturer field was empty, classpath and long_description are inferred based on product description",passed all checks,85,AMBIGUOUS: derived brand does not match manufacturer field '-'
55227,Tools > Drill Bits > Countersink Bits,not available in input,AMANA 1/8 DRILL,"Amana drill bit, 1/8 inch countersink stop for precise tasks",Amana 1/8 Inch Countersink Drill Bit,"The Amana Countersink/Stop 1/8 inch drill bit is designed for precise drilling tasks, manufactured by Amana Tool Corp.",not available in input,passed all checks,85,RESOLVED: manufacturer consistent with source data
D25333K,Tools > Power Tools > Drills,not available in input,DEWALT DRILL,Dewalt hammer drill D25333K with powerful motor and keyless chuck system,Dewalt Hammer Drill D25333K,"The Dewalt D25333K is a hammer drill with a powerful motor, designed for heavy-duty drilling and hammering applications, featuring a keyless chuck system for easy bit changes.","Manufacturer field contains a typo, should be 'Dewalt' instead of 'dewlt', and 'Black & Decker' is a different manufacturer",passed all checks,85,AMBIGUOUS: derived brand does not match manufacturer field 'Black & Decker/dewlt (2585)'
DCD803B,Tools > Power Tools > Drill Drivers,not available in input,DEWALT DRILL,Dewalt multi-head drill driver DCD803B with versatile functions,Dewalt DCD803B Multi-Head Drill Driver,"The Dewalt DCD803B is a multi-head drill driver, offering a versatile drilling solution.","Manufacturer field lists 'dewlt' which seems to be a typo for 'Dewalt', used as primary identifier",passed all checks,85,AMBIGUOUS: derived brand does not match manufacturer field 'Black & Decker/dewlt (2585)'
DCF860B,Tools > Power Tools > Drills & Drivers,not available in input,DEWALT 20V DRILL,Dewalt 20V Impact Driver Drill DCF860B high torque power tool,Dewalt 20V Impact Driver Drill DCF860B,The Dewalt DCF860B is a 20V impact driver drill providing high torque for various applications.,"Manufacturer field had a typo, corrected to 'Dewalt' for consistency.",passed all checks,85,AMBIGUOUS: derived brand does not match manufacturer field 'Black & Decker/dewlt (2585)'
3401-20,Tools > Power Tools > Drill Drivers,not available in input,MILW DRILL,Milwaukee M12 Drill Driver is a brushless compact drill driver model,Milwaukee M12 Drill Driver,"The Milwaukee M12 Drill Driver is a brushless, compact drill driver, model 3401-20, offered as a bare tool.",not available in input,passed all checks,85,RESOLVED: manufacturer consistent with source data
KPTDR050A,Tools > Power Tools > Drills,not available in input,KREG DRILL,"Kreg drill, 20V Ionic Compact Drill, KPTDR050A model for versatile use",Kreg 20V Ionic Compact Drill,"The Kreg 20V Ionic Compact Drill is a versatile power tool designed for various drilling tasks, featuring a compact design and 20V of power.",Confidence in classpath and long_description is moderate due to limited input information.,passed all checks,85,RESOLVED: manufacturer consistent with source data
DCD1007B,Tools > Power Tools > Drills,not available in input,DEWALT 20V HMR DRLL,Dewalt 20V cordless 1/2 inch hammer drill with high performance motor,Dewalt 20V Cordless 1/2 Inch Hammer Drill,"The Dewalt DCD1007B is a 20V cordless 1/2 inch hammer drill with a high performance motor, available as a bare tool.","Manufacturer field had a typo, corrected to Dewalt for consistency",passed all checks,85,AMBIGUOUS: derived brand does not match manufacturer field 'Black & Decker/dewlt (2585)'
DCD799B,Tools > Power Tools > Drills,not available in input,DEWALT DRILL,Dewalt cordless drill model DCD799B has a powerful motor,Dewalt DCD799B Drill,"The Dewalt DCD799B is a drill from the Dewalt power tool lineup, model number DCD799B.","Manufacturer field contained conflicting information with 'dewlt' which seems to be a typo and 'Black & Decker' which is a different manufacturer, proceeding with 'Dewalt' as it matches the input description","mobile_desc length is 56, expected 60-80",75,AMBIGUOUS: derived brand does not match manufacturer field 'Black & Decker/dewlt (2585)'
58006,Tools > Power Tools > Drill Presses,not available in input,DRILL PRESS,King Canada Voyager drill press with variable speed control system,King Canada Voyager Drill Press,"The King Canada Voyager Drill Press, model 58006, is a powerful and precise drilling solution for various applications.",not available in input,passed all checks,85,RESOLVED: manufacturer consistent with source data
49-66-4567,Tools > Power Tools > Driver Sets,not available in input,MILW 6IN MAG IMPACT,Milwaukee magnetic impact driver set 6pc with key features included,Milwaukee 6 Magnetic Impact Driver Set,"The Milwaukee 6 Magnetic Impact Driver Set is a 6 piece set that includes a magnetic impact driver with a 6 inch size, combining the benefits of magnetic and impact driving in one tool.","Manufacturer name and product type derived from input, classpath guessed based on product type",passed all checks,85,RESOLVED: manufacturer consistent with source data
DCF809D1,Tools > Power Tools > Impact Drivers,not available in input,DEWALT IMPACT,Dewalt Atomic 20V 1/4 inch Impact Driver Kit with key features,Dewalt Atomic 20V 1/4 inch Impact Driver Kit,The Dewalt Atomic DCF809D1 is a 20V 1/4 inch Impact Driver Kit,"Manufacturer field seems to have a typo, using Dewalt from input description",passed all checks,85,AMBIGUOUS: derived brand does not match manufacturer field 'Black & Decker/dewlt (2585)'
